name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;stored_executables;avg_concurrent_requests;numberOfExecutables
edge;EDGE;12016141,1664;365,7489;120000;0;5;30.003666666666668;5
intermediary;INTERMEDIARY;0,0000;365,7489;0;0;5;0.0;5
Cloud;CLOUD;0,0000;365,7489;0;0;5;0.0;5
edge;EDGE;12016144,2168;944,2914;120000;0;10;30.003875;10
intermediary;INTERMEDIARY;0,0000;944,2914;0;0;10;0.0;10
Cloud;CLOUD;0,0000;944,2914;0;0;10;0.0;10
edge;EDGE;8018609,0948;1166,2960;80033;39967;10;20.0039;15
intermediary;INTERMEDIARY;3996641,3315;1486,9009;39960;0;15;9.996283333333333;15
Cloud;CLOUD;0,0000;1486,9009;0;0;15;0.0;15
edge;EDGE;4181404,3664;910,9733;41736;78264;7;10.41855;20
intermediary;INTERMEDIARY;7832848,3918;1947,3558;78248;0;20;19.577716666666667;20
Cloud;CLOUD;0,0000;1947,3558;0;0;20;0.0;20
edge;EDGE;3358083,0734;944,3182;33544;86456;7;8.379241666666667;25
intermediary;INTERMEDIARY;8656457,7221;2434,8987;86443;0;25;21.625683333333335;25
Cloud;CLOUD;0,0000;2434,8987;0;0;25;0.0;25
edge;EDGE;3189782,2453;1060,5818;31852;88148;8;7.936775;30
intermediary;INTERMEDIARY;8824531,4318;2970,4581;88132;0;30;22.023316666666666;30
Cloud;CLOUD;0,0000;2970,4581;0;0;30;0.0;30
edge;EDGE;3055107,8002;1240,2662;30479;89521;9;7.6010583333333335;35
intermediary;INTERMEDIARY;8959181,5247;3547,1710;89505;0;35;22.383875;35
Cloud;CLOUD;0,0000;3547,1710;0;0;35;0.0;35
edge;EDGE;2984305,4736;1281,3995;29819;90181;10;7.464808333333333;40
intermediary;INTERMEDIARY;9029803,1090;3930,6382;90163;0;40;22.552358333333334;40
Cloud;CLOUD;0,0000;3930,6382;0;0;40;0.0;40
edge;EDGE;2145376,1728;1096,7463;21422;98578;8;5.3405;45
intermediary;INTERMEDIARY;9868694,6439;4424,2655;98559;0;45;24.656541666666666;45
Cloud;CLOUD;0,0000;4424,2655;0;0;45;0.0;45
edge;EDGE;2157937,1816;1239,7288;21459;98541;9;5.361758333333333;50
intermediary;INTERMEDIARY;9620159,5893;4911,7867;96156;2368;49;24.038666666666668;50
Cloud;CLOUD;236439,3731;4962,6457;2368;0;50;0.5884916666666666;50
edge;EDGE;1980788,3471;1291,8445;19782;100218;9;4.947541666666667;55
intermediary;INTERMEDIARY;9156441,7961;5269,5522;91457;8742;51;22.845125;55
Cloud;CLOUD;877002,6659;5499,1171;8741;0;55;2.188875;55
edge;EDGE;1813119,4538;1295,9637;17996;102004;9;4.495458333333334;60
intermediary;INTERMEDIARY;8420004,3682;5491,9206;84156;17829;51;21.013883333333332;60
Cloud;CLOUD;1780872,6028;6049,8787;17822;0;60;4.471141666666667;60
edge;EDGE;1642108,2327;1292,6774;16360;103640;9;4.098033333333333;65
intermediary;INTERMEDIARY;7782158,0106;5705,9563;77780;25840;51;19.4239;65
Cloud;CLOUD;2589541,2981;6626,7055;25835;0;65;6.4600333333333335;65
edge;EDGE;1710941,2662;1360,8895;17103;102897;10;4.26455;70
intermediary;INTERMEDIARY;7017467,0759;5785,8900;70090;32786;51;17.500675;70
Cloud;CLOUD;3285221,4319;7088,8470;32779;0;70;8.192133333333333;70
edge;EDGE;1441384,5883;1271,0655;14382;105618;9;3.598533333333333;75
intermediary;INTERMEDIARY;6396588,8236;5740,9544;63930;41665;49;15.956941666666667;75
Cloud;CLOUD;4175185,9207;7651,6212;41654;0;75;10.394425;75
edge;EDGE;1516283,1274;1327,0060;15077;104923;10;3.7663333333333333;80
intermediary;INTERMEDIARY;5847773,9751;5820,8753;58452;46453;49;14.638033333333333;80
Cloud;CLOUD;4649390,1982;8149,2492;46441;0;80;11.620375;80
edge;EDGE;1412029,4349;1420,5915;14069;105931;10;3.513558333333333;85
intermediary;INTERMEDIARY;5539220,5541;5951,4264;55364;50545;49;13.840525;85
Cloud;CLOUD;5061872,7633;8684,2161;50532;0;85;12.638116666666667;85
edge;EDGE;1331287,4296;1399,1421;13258;106742;10;3.3110416666666667;90
intermediary;INTERMEDIARY;5243267,0441;5995,0727;52352;54370;49;13.08795;90
Cloud;CLOUD;5437566,5278;9160,5244;54349;0;90;13.587808333333333;90
edge;EDGE;1137789,3386;1237,3970;11332;108668;9;2.828825;95
intermediary;INTERMEDIARY;5063920,8137;6061,2703;50595;58047;49;12.633233333333333;95
Cloud;CLOUD;5810857,4160;9710,7749;58034;0;95;14.517441666666667;95
edge;EDGE;1208701,7955;1411,0193;11990;108010;10;2.988825;100
intermediary;INTERMEDIARY;4811057,1565;6108,1323;48037;59950;49;12.019858333333334;100
Cloud;CLOUD;5993080,8859;10174,0201;59936;0;100;14.963416666666667;100
