name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;stored_executables;avg_concurrent_requests;individualEdgeLoad
edge;EDGE;1071828,3630;944,2914;10716;1284;10;2.6967;100
intermediary;INTERMEDIARY;125678,8574;944,2914;1279;5;10;0.31908333333333333;100
Cloud;CLOUD;585,9182;944,2914;5;0;10;0.0;100
edge;EDGE;1569690,0673;944,2914;15533;8467;10;3.87585;200
intermediary;INTERMEDIARY;828570,7105;944,2914;8455;12;10;2.1162666666666667;200
Cloud;CLOUD;1404,8797;944,2914;12;0;10;0.0;200
edge;EDGE;1755276,5711;944,2914;17297;18703;10;4.329158333333333;300
intermediary;INTERMEDIARY;1841566,6892;944,2914;18687;16;10;4.6551833333333335;300
Cloud;CLOUD;1770,7324;944,2914;16;0;10;0.0;300
edge;EDGE;1868197,6606;944,2914;18237;29763;10;4.550866666666667;400
intermediary;INTERMEDIARY;2930228,0036;944,2914;29738;25;10;7.431758333333334;400
Cloud;CLOUD;2660,7461;944,2914;25;0;10;0.0014833333333333332;400
edge;EDGE;1919999,9194;944,2914;18609;41391;10;4.664766666666667;500
intermediary;INTERMEDIARY;4064418,5283;944,2914;41220;171;10;10.278175;500
Cloud;CLOUD;17155,2058;944,2914;171;0;10;0.03525;500
edge;EDGE;1976732,6308;944,2914;18990;53010;10;4.742916666666667;600
intermediary;INTERMEDIARY;5114856,0500;944,2914;51846;1164;10;12.966925;600
Cloud;CLOUD;112050,2478;944,2914;1164;0;10;0.28623333333333334;600
edge;EDGE;2011252,5415;944,2914;19183;64817;10;4.793408333333334;700
intermediary;INTERMEDIARY;6017480,5620;944,2914;60936;3881;10;15.250683333333333;700
Cloud;CLOUD;375671,7938;944,2914;3881;0;10;0.9693166666666667;700
edge;EDGE;2052132,6260;944,2914;19365;76635;10;4.832816666666667;800
intermediary;INTERMEDIARY;6664294,5589;944,2914;67486;9149;10;16.867083333333333;800
Cloud;CLOUD;893010,1422;944,2914;9149;0;10;2.2864583333333335;800
edge;EDGE;2073215,4327;944,2914;19440;88560;10;4.857091666666666;900
intermediary;INTERMEDIARY;7114880,0451;944,2914;72012;16548;10;18.01910833333333;900
Cloud;CLOUD;1619187,5297;944,2914;16548;0;10;4.129125;900
edge;EDGE;2089151,6939;944,2914;19513;100487;10;4.879366666666667;1000
intermediary;INTERMEDIARY;7438444,4142;944,2914;75111;25376;10;18.766275;1000
Cloud;CLOUD;2488548,1087;944,2914;25376;0;10;6.32875;1000
edge;EDGE;2118405,8088;944,2914;19632;112368;10;4.8967583333333335;1100
intermediary;INTERMEDIARY;7667868,3066;944,2914;77344;35024;10;19.327233333333332;1100
Cloud;CLOUD;3433636,6748;944,2914;35024;0;10;8.740475;1100
edge;EDGE;2138117,4146;944,2914;19666;124334;10;4.91235;1200
intermediary;INTERMEDIARY;7825369,9284;944,2914;78886;45448;10;19.721775;1200
Cloud;CLOUD;4457110,0878;944,2914;45448;0;10;11.3474;1200
edge;EDGE;2166576,2504;944,2914;19749;136251;10;4.923525;1300
intermediary;INTERMEDIARY;7942310,6259;944,2914;79999;56252;10;20.010958333333335;1300
Cloud;CLOUD;5510123,0858;944,2914;56252;0;10;14.067625;1300
edge;EDGE;2181366,6635;944,2914;19773;148227;10;4.9334;1400
intermediary;INTERMEDIARY;8053175,2667;944,2914;80976;67251;10;20.222841666666667;1400
Cloud;CLOUD;6588189,5675;944,2914;67251;0;10;16.803275;1400
edge;EDGE;2198734,6508;944,2914;19777;160223;10;4.94205;1500
intermediary;INTERMEDIARY;8102113,6983;944,2914;81662;78561;10;20.409358333333333;1500
Cloud;CLOUD;7721002,9964;944,2914;78561;0;10;19.646058333333333;1500
edge;EDGE;2213247,3014;944,2914;19811;172189;10;4.947133333333333;1600
intermediary;INTERMEDIARY;8185509,7499;944,2914;82239;89950;10;20.558541666666667;1600
Cloud;CLOUD;8823140,2194;944,2914;89950;0;10;22.471958333333333;1600
edge;EDGE;2238715,0737;944,2914;19895;184105;10;4.954008333333333;1700
intermediary;INTERMEDIARY;8216450,3759;944,2914;82625;101480;10;20.67878333333333;1700
Cloud;CLOUD;9965742,5287;944,2914;101480;0;10;25.373241666666665;1700
edge;EDGE;2247910,8586;944,2914;19878;196122;10;4.960283333333333;1800
intermediary;INTERMEDIARY;8274844,3308;944,2914;83136;112986;10;20.77215;1800
Cloud;CLOUD;11103693,7111;944,2914;112986;0;10;28.247691666666668;1800
edge;EDGE;2267085,9279;944,2914;19897;208103;10;4.964625;1900
intermediary;INTERMEDIARY;8309446,3720;944,2914;83514;124589;10;20.8589;1900
Cloud;CLOUD;12252343,5376;944,2914;124589;0;10;31.0822;1900
edge;EDGE;2285003,4893;944,2914;19941;220059;10;4.967291666666667;2000
intermediary;INTERMEDIARY;8355632,9081;944,2914;83741;136318;10;20.936783333333334;2000
Cloud;CLOUD;13391272,8291;944,2914;136318;0;10;34.0356;2000
edge;EDGE;2300672,2183;944,2914;19926;232074;10;4.97075;2100
intermediary;INTERMEDIARY;8379687,7112;944,2914;83997;148077;10;20.975141666666666;2100
