min_latency;max_latency;avg_latency;individualEdgeLoad
15;34,0407;75;100
15;40,3380;75;200
15;43,6252;75;300
15;45,3121;109;400
15;46,5035;130;500
15;48,4022;130;600
15;51,2343;132;700
15;54,8648;133;800
15;58,6605;133;900
15;61,9462;134;1000
15;64,7739;134;1100
15;67,2107;134;1200
15;69,2859;135;1300
15;71,0453;135;1400
15;72,5064;134;1500
15;73,7748;135;1600
15;74,9225;135;1700
15;75,9261;134;1800
15;76,7016;134;1900
15;77,4292;134;2000
15;78,1545;135;2100
15;78,7739;135;2200
15;79,3608;135;2300
15;79,8689;135;2400
15;80,3169;135;2500
15;80,7581;135;2600
15;81,1359;135;2700
15;81,4494;135;2800
15;81,7912;135;2900
15;82,1208;134;3000
15;82,3746;135;3100
15;82,6390;135;3200
15;82,8945;135;3300
15;83,1199;134;3400
15;83,3161;135;3500
15;83,5473;135;3600
15;83,6985;135;3700
15;83,8816;135;3800
15;84,0818;134;3900
15;84,2214;135;4000
15;84,3844;135;4100
15;84,4923;135;4200
15;84,6303;135;4300
15;84,7700;135;4400
15;84,8909;135;4500
15;85,0165;135;4600
15;85,1156;135;4700
15;85,2611;134;4800
15;85,3483;135;4900
15;85,4421;135;5000
15;85,5630;135;5100
15;85,6535;135;5200
15;85,7511;135;5300
15;85,8555;135;5400
15;85,9420;135;5500
15;86,0170;135;5600
15;86,0564;135;5700
15;86,1183;135;5800
15;86,1779;135;5900
15;86,2547;135;6000
15;86,3591;135;6100
15;86,4250;135;6200
15;86,4386;135;6300
15;86,4923;135;6400
15;86,5509;135;6500
15;86,6556;135;6600
15;86,6731;135;6700
15;86,7094;135;6800
15;86,7383;135;6900
15;86,7942;135;7000
15;86,8911;135;7100
15;86,9458;135;7200
15;86,9868;135;7300
15;87,0153;135;7400
15;87,0439;135;7500
15;87,0924;135;7600
15;87,1033;135;7700
15;87,1552;134;7800
15;87,1926;135;7900
15;87,2702;135;8000
15;87,3117;135;8100
15;87,3516;135;8200
15;87,3763;135;8300
15;87,4177;135;8400
15;87,4531;135;8500
15;87,4521;135;8600
15;87,4746;135;8700
15;87,4921;135;8800
15;87,5245;135;8900
15;87,6074;135;9000
15;87,6271;135;9100
15;87,6609;135;9200
15;87,6545;135;9300
15;87,6821;135;9400
15;87,7041;135;9500
15;87,7439;135;9600
15;87,7677;135;9700
15;87,7687;135;9800
15;87,7967;135;9900
15;87,8065;135;10000
